id,sex,employment,married,income,digital3
425,0,unemployed,1,0,.13825476
426,0,student,0,0,.53919852
427,1,employed,1,64890,.68371266
428,1,employed,1,28054,0
429,0,student,0,3820,.92580533
430,0,retired,1,3345,.29412228
431,1,employed,1,40168,.73735142
432,1,student,0,16538,.86533463
433,0,employed,0,14735,.13059878
434,1,employed,0,8616,.67696398
435,0,employed,0,12582,.47937781
436,0,employed,1,11643,.61190927
437,1,employed,1,18724,.14197141
438,1,unemployed,0,0,.69715458
439,0,employed,0,35355,.048044957
440,1,employed,1,79903,0
441,1,student,1,21060,.23682888
442,1,employed,1,6933,.61949199
443,1,employed,1,29343,.17454413
444,1,employed,1,42264,0
445,0,retired,0,4116,0
446,1,student,0,0,.76120836
447,1,employed,1,40840,.5266692
448,1,employed,1,16223,.75633425
449,0,unemployed,1,0,.50304949
450,0,employed,1,30522,.86623299
451,0,employed,1,12911,0
452,0,employed,0,8227,.3634063
453,0,employed,0,13492,.91957211
454,1,employed,0,7874,.092201203
455,1,student,0,0,.77430069
456,1,employed,1,33526,0
457,0,employed,1,4576,.15319647
458,0,employed,1,9774,.55965275
459,1,retired,1,7125,.35434878
460,1,employed,1,48655,.86834371
461,0,employed,1,5338,.82958579
462,0,student,0,7675,.83722854
463,0,retired,0,14420,.37266773
464,1,employed,1,30523,.24779418
465,1,employed,1,7483,.76763535
466,0,employed,1,19276,.72957069
467,1,employed,1,13034,0
468,0,employed,0,11651,.41010985
469,0,employed,1,17825,.70948136
470,1,employed,1,17955,.41600376
471,0,employed,0,7384,0
472,1,employed,0,12790,.67000657
473,1,unemployed,1,6263,.83287174
474,1,employed,1,8120,0
475,0,employed,1,4921,.55502313
476,0,employed,1,10224,.9681375
477,0,student,0,11794,.77273017
478,1,employed,0,30746,0
479,1,student,1,0,.67105728
480,0,unemployed,1,0,.63922966
481,0,employed,0,8719,0
482,1,retired,0,9893,0
483,0,unemployed,1,0,0
484,0,student,0,0,.40461537
485,1,employed,1,19649,.72352779
486,1,student,0,19536,0
487,1,student,0,0,.75805652
488,1,employed,1,42153,.51339966
489,1,employed,1,8288,.55668056
490,0,employed,1,17839,.073214643
491,1,student,0,4908,.31943095
492,1,employed,0,11493,.79541767
493,1,student,1,0,.38463688
494,1,retired,1,6181,0
495,1,retired,0,4904,.16979155
496,0,unemployed,1,13449,.78594458
497,1,student,0,5834,.18051621
498,0,employed,0,30266,0
499,0,student,0,44862,.51372391
500,1,student,0,7548,.11918638
501,1,retired,1,3978,0
502,1,employed,1,22862,.39461416
503,1,employed,1,8019,.29055139
504,1,student,0,0,.95541739
505,1,employed,0,5631,0
506,1,employed,1,71978,.28713664
507,1,employed,0,10198,.55101043
508,1,student,0,7421,.74631673
509,1,student,0,0,.28022364
510,0,employed,0,8889,.71331626
511,1,employed,1,22165,.62537593
512,0,student,0,0,.88596743
513,1,employed,1,16594,.10281823
514,1,employed,1,9235,.77447975
515,0,employed,1,11644,.6130178
516,1,retired,1,7727,0
517,1,employed,0,39867,.68644488
518,0,employed,1,8245,.51830631
519,1,unemployed,1,11982,.61327869
520,1,retired,1,55477,.099737085
521,1,employed,1,7471,.52983409
522,0,employed,1,19191,.21887921
523,1,employed,1,7554,.8005529
524,0,employed,1,21731,.27428249
525,0,student,1,0,.88683474
526,1,employed,1,56323,.21858366
527,1,employed,0,28530,.76126242
528,1,retired,1,12271,0
529,0,unemployed,1,0,.78935641
530,1,employed,1,8593,.66027707
531,0,unemployed,0,10862,.29604062
532,1,employed,1,17434,0
533,0,unemployed,1,0,.85938007
534,1,employed,1,7477,.73575002
535,1,unemployed,1,0,.90815067
536,0,unemployed,0,22312,.19690786
537,1,employed,1,34158,.57966316
538,0,unemployed,0,0,0
539,0,employed,0,64316,.85888618
540,1,student,0,0,.20983675
541,1,student,0,5937,.26043254
542,1,employed,0,85469,.35197511
543,1,employed,1,34847,0
544,1,employed,0,51873,0
545,0,employed,1,6885,.54643768
546,0,employed,0,19314,.55927402
547,1,employed,1,31406,.54434866
548,0,unemployed,0,0,.04563003
549,1,unemployed,1,0,0
550,0,employed,1,134565,.42738995
551,1,employed,0,8466,.59126627
552,0,employed,1,18507,0
553,1,unemployed,1,8581,.70458788
554,1,student,0,0,.56285018
555,0,student,0,0,.82262486
556,1,unemployed,1,15445,0
557,1,student,0,0,.87242603
558,1,unemployed,0,18530,0
559,0,employed,1,10535,0
560,1,employed,1,16731,.79891652
561,0,employed,0,44868,.11366401
562,1,employed,1,22965,.59887481
563,0,employed,1,8482,0
564,0,student,0,0,.79702246
565,1,student,0,0,.98174584
566,1,employed,1,26679,.76069802
567,1,employed,1,21705,.082436219
568,1,employed,1,16177,.91351259
569,0,student,0,17134,.94070387
570,1,employed,1,8505,.33769307
571,1,unemployed,1,8921,.57624894
572,1,unemployed,1,6859,.65132296
573,0,employed,1,13045,.49542233
574,0,student,0,0,.88151473
575,1,employed,0,10107,.57044524
576,0,employed,1,6296,.10661363
577,1,student,0,11480,.83640254
578,1,employed,1,7938,.65100569
579,0,unemployed,0,7888,0
580,1,unemployed,1,7138,.56781346
581,0,employed,1,12971,.14602619
582,1,student,0,0,0
583,0,retired,0,2920,0
584,1,student,0,5212,.40787405
585,1,employed,1,5813,0
586,1,unemployed,1,16697,.63493001
587,1,unemployed,1,0,.28000247
588,1,employed,1,26110,.51322532
589,1,employed,1,75962,0
590,0,unemployed,1,0,0
591,1,employed,1,14489,.096800007
592,0,unemployed,1,0,.78671849
593,0,retired,1,2688,0
594,1,employed,1,56670,.50344723
595,0,employed,0,15291,.61204696
596,1,employed,1,11438,.54360706
597,1,employed,1,20627,.81375641
598,0,employed,1,7223,0
599,1,employed,1,16697,.33905661
600,1,employed,0,12022,.52336109
601,1,employed,1,9023,.79097486
602,1,student,0,4735,.98675758
603,1,employed,1,12676,.89704508
604,1,student,0,0,.77987379
605,0,employed,0,15207,.65610856
606,0,retired,1,6730,.16337214
607,0,employed,1,5682,0
608,0,unemployed,0,0,.85177171
609,0,employed,0,15620,.21726418
610,1,student,1,13098,.84173054
611,1,employed,0,23838,.57967442
612,1,retired,0,3940,0
613,0,student,0,0,.98151946
614,1,employed,1,7571,.50538772
615,1,student,0,5119,.015591858
616,1,employed,1,13443,.73700893
617,0,unemployed,1,0,.58537406
618,0,unemployed,1,0,.82801229
619,1,unemployed,1,0,.63263667
620,1,student,0,10978,.97863406
621,1,employed,1,7396,.72772515
622,0,employed,0,6667,.18545572
623,0,employed,1,9472,.4793095
624,0,student,1,0,.85868174
625,1,employed,1,9981,.73658878
626,0,unemployed,0,0,0
627,1,employed,0,11338,.17035617
628,1,employed,1,7044,.50399822
629,0,employed,0,12671,0
630,0,employed,1,11620,.52237022
631,1,employed,1,17828,.36259654
632,1,student,0,0,.89824748
633,1,student,0,0,.78246164
634,0,employed,0,18563,.5244959
635,1,employed,1,11373,.22481473
636,0,student,0,35619,.27380162
637,1,retired,0,4523,.048254505
638,0,retired,1,3511,.2384074
639,1,retired,1,4518,0
640,0,employed,1,12240,.7446577
641,1,student,0,0,.85344613
642,1,employed,1,29559,.52187997
643,1,employed,1,8012,.1942502
644,1,student,0,28916,.38260931
645,1,employed,1,190875,0
646,1,employed,1,9626,0
647,1,retired,1,28846,.28475252
648,0,retired,0,2621,.083670937
649,0,unemployed,1,0,0
650,1,student,0,11185,.088418931
651,0,employed,0,800429,0
652,0,student,0,0,.87571084
653,1,student,0,14751,.83262199
654,1,student,0,0,.83541203
655,0,employed,1,10377,.22054958
656,1,student,0,0,.97062165
657,1,student,0,6224,.55238819
658,1,employed,1,21458,0
659,0,unemployed,1,0,.52656251
660,0,unemployed,1,0,.59367025
661,1,retired,1,3155,0
662,0,unemployed,1,25404,.72615856
663,0,employed,0,8199,.56030673
664,0,student,0,0,.92093766
665,1,employed,1,6925,.72230059
666,1,unemployed,1,16317,.44554386
667,1,employed,1,24763,.74031055
668,0,employed,0,32665,.55257809
669,0,student,0,11900,.006512125
670,0,employed,1,9121,0
671,1,employed,1,7800,0
672,1,employed,1,11004,0
673,1,employed,0,20575,.54063976
674,0,employed,1,11231,.54141837
675,1,retired,1,3443,0
676,0,employed,1,8391,.44676837
677,1,employed,0,6996,.82497382
678,0,employed,1,54832,.51009738
679,0,employed,1,7867,.51010281
680,0,employed,1,7578,.41279075
681,0,unemployed,1,0,0
682,1,employed,1,27695,0
683,0,student,0,13122,.85447931
684,0,student,0,0,.97753394
685,0,employed,0,92917,.50808674
686,0,student,0,0,0
687,1,unemployed,0,2903,.60346586
688,1,employed,1,12835,.097665712
689,1,retired,0,24245,.24785915
690,1,employed,1,19837,.29728526
691,0,employed,1,10894,0
692,1,student,0,0,.96054012
693,1,employed,0,12546,.80709118
694,1,retired,1,6145,0
695,1,employed,0,22404,.53734064
696,1,employed,1,62153,0
697,0,retired,0,13988,.094592109
698,1,employed,1,5388,.59910113
699,0,employed,0,11715,0
700,0,student,0,0,.78022838
701,1,student,1,0,.62898839
702,1,employed,1,45218,0
703,0,student,0,0,0
704,1,employed,1,19863,.4625549
705,0,unemployed,1,11505,.10937978
706,0,employed,0,11789,.23612252
707,1,employed,0,25817,.71772522
708,0,unemployed,1,21800,.57462341
709,0,student,0,0,.72175336
710,1,employed,0,9368,.13615404
711,0,retired,0,1370,0
712,1,employed,0,24447,.63390917
713,1,unemployed,0,11383,0
714,1,employed,1,13004,.65904975
715,1,retired,0,6761,0
716,0,student,0,12618,.89863259
717,1,employed,0,6332,.18825325
718,1,employed,1,27189,.36991438
719,0,student,0,166840,.43442759
720,1,employed,1,20723,.12422699
721,1,employed,1,13587,.6033116
722,0,employed,1,12666,.1697018
723,1,student,0,31161,.90899897
724,0,employed,0,12945,.64486825
725,1,retired,0,12448,.2880477
726,1,employed,0,12735,0
727,1,student,1,0,0
728,0,retired,0,5189,.15278341
729,1,employed,1,7162,.25045806
730,0,unemployed,1,0,.13699225
731,1,student,0,4831,.9249143
732,0,unemployed,1,15654,0
733,0,employed,1,8776,.32597297
734,0,retired,0,2883,0
735,0,employed,0,19728,.55597228
736,1,employed,1,17331,.099819116
737,1,employed,1,31160,.71412784
738,1,unemployed,1,0,.65533859
739,1,employed,0,5112,.47046781
740,1,employed,1,5953,0
741,1,employed,1,5401,.50308138
742,1,employed,1,157245,.053111989
743,1,employed,1,22945,0
744,0,employed,1,10600,.63756442
745,0,employed,1,5912,.70440078
746,0,retired,1,3538,.28967944
747,1,student,0,0,.7355454
748,0,employed,1,7178,0
749,1,employed,0,11482,.53253108
750,0,employed,0,16401,.74824601
751,1,employed,0,6341,.90550965
752,0,student,0,5638,.93789566
753,0,unemployed,1,8408,.18421318
754,1,employed,1,50060,.53200203
755,1,employed,1,29427,0
756,1,employed,0,16334,.56308472
757,0,employed,1,9895,.64987725
758,0,employed,1,27142,.62198353
759,1,unemployed,1,5697,.86975211
760,1,employed,1,17903,.63045722
761,1,employed,0,5417,0
762,1,employed,1,28307,.9200446
763,1,student,0,5476,.99077314
764,0,retired,0,11577,0
765,1,retired,0,13766,.06992349
766,1,student,0,0,.73545384
767,1,employed,0,18645,0
768,0,employed,1,9523,.83732939
769,1,employed,0,90186,.58198023
770,1,employed,1,10791,0
771,0,retired,1,4701,.3595961
772,1,employed,1,14863,.84744924
773,1,student,0,0,.65311968
774,1,employed,1,6636,.71412671
775,1,employed,1,32433,0
776,0,employed,0,35739,.58105141
777,0,retired,1,2827,.2319487
778,1,employed,1,6458,0
779,1,employed,1,6245,.31357971
780,1,employed,0,355249,.60067284
781,1,employed,1,40496,0
782,1,employed,1,11743,.70489913
783,1,employed,1,21612,.52547467
784,0,unemployed,1,19256,0
785,0,unemployed,1,7498,0
786,1,retired,0,6185,.25902414
787,0,employed,1,5857,.65188509
788,0,retired,1,7864,0
789,0,student,0,7617,.79427814
790,1,unemployed,1,11995,.59557992
791,1,employed,1,6085,.69317085
792,1,employed,1,13768,.23106129
793,0,employed,1,6432,.57683468
794,1,employed,0,81177,.52349865
795,1,employed,0,26065,.64523178
796,1,student,0,16491,.85309774
797,1,retired,0,3400,.38854769
798,1,student,0,0,.89562917
799,1,student,0,0,.85856229
800,1,unemployed,1,0,0
801,1,employed,1,9700,.60698581
802,1,employed,1,16123,0
803,0,student,0,16619,.23688012
804,0,retired,1,2893,.11794207
805,1,employed,1,11504,.25680515
806,0,employed,1,8189,0
807,1,employed,0,8468,.73912966
808,0,student,0,0,.40474111
809,1,student,0,5122,.34890279
810,0,unemployed,1,48607,.38313219
811,1,employed,1,9005,.79638529
812,1,student,0,0,.36040044
813,0,employed,1,19230,.63315111
814,1,unemployed,0,12153,.3079502
815,0,retired,0,2088,0
816,0,employed,1,17522,.97734737
817,0,employed,1,7763,0
818,0,employed,1,12597,.7520411
819,0,employed,1,48336,.85158199
820,0,retired,1,4275,.28210515
821,0,employed,1,30441,.80456018
822,1,employed,0,7293,.84728611
823,0,retired,1,3543,.34634355
824,0,unemployed,1,10989,.78261274
825,1,student,0,0,.90197515
826,1,retired,1,35564,0
827,1,employed,1,9963,.53283799
828,0,student,0,0,0
829,0,retired,1,6963,0
830,1,unemployed,1,21918,.62696159
831,0,employed,0,12725,.19668713
832,1,employed,1,28465,.63957942
833,1,employed,1,32038,.52784127
834,0,employed,0,18884,.67053634
835,0,student,0,0,.027252682
836,0,employed,1,9453,0
837,1,student,0,4491,.89220345
838,1,unemployed,1,18433,0
839,1,employed,1,7578,.61360198
840,1,employed,0,26058,.098933227
841,1,employed,1,7184,.77443808
842,1,unemployed,0,0,.57336587
843,0,employed,1,217805,.68230033
844,1,student,0,0,.91092616
845,1,employed,0,26180,.64344209
846,0,employed,1,9885,0
847,0,employed,1,42980,0
848,1,employed,1,9610,.74139702
849,0,unemployed,1,18728,0
850,1,student,0,0,.91001815
851,0,student,0,8099,.31905794
852,1,employed,0,9860,.81768578
853,0,unemployed,1,0,.61214536
854,0,student,0,0,.17190383
855,0,unemployed,0,0,.69365072
856,1,student,0,4935,.79512018
